"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"8514966","ARCHIVO DE CONCENTRACIÓN IMSS","INSTITUTO MEXICANO DEL SEGURO SOCIAL DE GOBIERNO FEDERAL ","622112","Hospitales generales del sector público","31 a 50 personas","CALLE","ROBERTO DIAZ RODRIGUEZ","CALLE","JOSE MARIA GUZMAN HERNANDEZ","CALLE","ANSELMO LOPEZ ARAMBULA","CALLE","CAROLINA VILLANUEVA DE GARCÍA","306",,,,,,"CIUDAD INDUSTRIAL","CIUDAD INDUSTRIAL",,,,"20290","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1477","007",,,,"Fijo","21.83461311","-102.28461657","2019-11"
"5691","CENTRO DE ATENCIÓN INTEGRAL DEL ADULTO MAYOR","DIF ESTATAL ","622112","Hospitales generales del sector público","31 a 50 personas","AVENIDA","PASEO DE LA CRUZ","PASAJE","ANTONIO DIAZ SOTO Y GAMA","AVENIDA","HEROE DE NACOZARI SUR","PASAJE","ANTONIO DÍAZ SOTO Y GAMA","702",,,,"0",,"UNIDAD HABITACIONAL","IV CENTENARIO",,,,"20260","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0905","008","4499184915",,,"Fijo","21.87345227","-102.28100813","2010-07"
"4781","CENTRO DE SEGURIDAD SOCIAL","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","51 a 100 personas","BOULEVARD","JOSE MARIA CHAVEZ","AVENIDA","CONVENCION DE 1914 SUR","CALLE","JARDIN DEL ESTUDIANTE","CALLE","JARDÍN DEL ESTUDIANTE","1202",,,,,,"FRACCIONAMIENTO","LINDA VISTA",,,,"20270","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0888","019",,"ERIKAPEREZPA@IMSS.GOB.MX","WWW.IMSS.GOB.MX","Fijo","21.86693982","-102.29276108","2010-07"
"26668","CLÍNICA NO.5 DEL IMSS","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","31 a 50 personas","CALLE","MIGUEL HIDALGO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","GUADALUPE","1",,,,"0",,"COLONIA","SANTA CRUZ",,,,"20710","01","AGUASCALIENTES","002","Asientos","0001","Asientos","0334","029",,,,"Fijo","22.2350742","-102.08667388","2010-07"
"6923790","HOSPITAL CENTENARIO MIGUEL HIDALGO","SECRETARIA DE SALUD DEL ESTADO DE AGUASCALIENTES ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","MANUEL GOMEZ MORIN","AVENIDA","MANUEL GOMEZ MORIN","AVENIDA","GABRIELA MISTRAL","AVENIDA","SIN REFERENCIA",,"SN",,,,,"COLONIA","FERRONALES",,,,"20180","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1528","001",,,,"Fijo","21.89443132","-102.2840336","2019-11"
"13660","HOSPITAL DE LA MUJER","ISEA ","622312","Hospitales del sector público de otras especialidades médicas","251 y más personas","AVENIDA","SIGLO XXI","AVENIDA","MARIANO HIDALGO","CALLE","CHICHEN ITZA","CALLE","ARTILLERO MIER","109",,,,,,"FRACCIONAMIENTO","MORELOS I",,,,"20298","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2719","052","4499774614",,,"Fijo","21.85642747","-102.25277981","2010-07"
"27105","HOSPITAL GENERAL DE PABELLÓN DE ARTEAGA","INSTITUTO DE SALUD DEL ESTADO DE AGUASCALIENTES ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","VENUSTIANO CARRANZA","AVENIDA","SEBASTIAN LERDO DE TEJADA","CALLE","LEANDRO VALLE","CALLE","NINGUNO","50",,,,,,"COLONIA","CENTRO",,,,"20679","01","AGUASCALIENTES","006","Pabellón de Arteaga","0001","Pabellón de Arteaga","0085","006",,,,"Fijo","22.15016876","-102.27986959","2010-07"
"21909","HOSPITAL GENERAL DE RINCON DE ROMOS","ISEA ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","MORELOS","AVENIDA","CONSTITUCION DE 1917","CALLE","PADRE NIEVES","CALLE","PADRE NIEVES",,"SN",,,,,"COLONIA","SAN JOSE",,,,"20415","01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0059","017",,"DIRECCION.HGRR@HOMAIL.COM",,"Fijo","22.22508354","-102.32102737","2010-07"
"4783","HOSPITAL GENERAL DE ZONA NO 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","251 y más personas","BOULEVARD","JOSE MARIA CHAVEZ","AVENIDA","CONVENCION DE 1914 SUR","CALLE","JARDIN DEL ESTUDIANTE","CALLE","MIGUEL CALDERA","1202",,,,,,"FRACCIONAMIENTO","LINDA VISTA",,,,"20270","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0888","019",,"SERGIO.SANCHEZE@IMSS.GOB.MX","WWW.PREI.IMSS.GOB.MX","Fijo","21.86618942","-102.29417801","2010-07"
"10355","HOSPITAL GENERAL DE ZONA NUMERO 2","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","251 y más personas","CALLE","LOS CONOS","CALLE","LAS NORIAS","AVENIDA","AGUASCALIENTES ORIENTE","CALLE","COTORINAS","102",,,,"0",,"FRACCIONAMIENTO","OJOCALIENTE 1",,,,"20196","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2329","009",,,"WWW.IMSS.GO9B.MX","Fijo","21.87606944","-102.25461072","2010-07"
"7461885","HOSPITAL GENERAL DE ZONA NUMERO 3","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Hospitales generales del sector público","251 y más personas","PROLONGACION","ZARAGOZA","OTRO (ESPECIFIQUE)","SIN REFERENCIA","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","SIN REFERENCIA","905",,,,,,"EJIDO","JESUS MARIA",,,,"20908","01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","0660","039","4491535900",,"WWW.IMSS.ORG.MX","Fijo","21.95653008","-102.30865837","2019-11"
"978","HOSPITAL GENERAL ISEA","ISEA ","622112","Hospitales generales del sector público","251 y más personas","BOULEVARD","RODOLFO LANDEROS GALLEGOS","CALLE","PROFESOR JOSE LANDEROS","CALLE","INDUSTRIA","BOULEVARD","SIN REFERENCIA","440",,,,,,"COLONIA","JOSE LANDEROS",,,,"20803","01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0168","005","4959560625",,,"Fijo","21.84822238","-102.70319079","2010-07"
"52245","HOSPITAL GENERAL TERCER MILENIO","INSTITUTO DE SALUD DEL ESTADO DE AGS ","622112","Hospitales generales del sector público","251 y más personas","AVENIDA","SIGLO XXI","AVENIDA","MARIANO HIDALGO","CALLE","CHICHEN ITZA","CALLE","ARTILLERO MIER","103",,,,,,"FRACCIONAMIENTO","MORELOS I",,,,"20298","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2719","052","4499776275","HGTM@ISSEA.GOB.MX","WWW.ISSEA.GOB.MX","Fijo","21.85597913","-102.2544161","2010-07"
"21803","INSTITUTO DE SEGURIDAD Y SERVICIO SOCIAL DE LOS TRABAJADORES DEL ESTADO","JUAN MANUEL MORA CHAVEZ ","622112","Hospitales generales del sector público","6 a 10 personas","AVENIDA","GENERAL ALVARO OBREGON","CALLE","XOCHITL","CALLE","DELFINO V. ARAUJO","CALLE","JUAN DIEGO","0","SN",,,"0",,"BARRIO","GUADALUPE",,,,"20400","01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0222","004","4658514210",,,"Fijo","22.22952263","-102.31374898","2010-07"
"13074","INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES","INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES ","622112","Hospitales generales del sector público","31 a 50 personas","CALLE","ACUARIO","CALLE","CANCER","AVENIDA","ARQUEROS","PRIVADA","PASEO DEL CEDAZO","101",,,,,,"UNIDAD HABITACIONAL","GOMEZ PORTUGAL",,,,"20250","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2189","032",,,,"Fijo","21.86927119","-102.26965632","2010-07"
"26810","UNF ISSSTE VILLA JUÁREZ","GOBIERNO FEDERAL ","622112","Hospitales generales del sector público","0 a 5 personas","CALLE","ALAMEDA","PROLONGACION","HEROE DE NACOZARI","CALLE","BENITO JUAREZ","CALLE","LOMA BONITA","265",,,,,"SN","BARRIO","EL RASCÓN (LA LOMA)",,,,"20700","01","AGUASCALIENTES","002","Asientos","0059","Villa Juárez","0298","002",,,,"Fijo","22.08812481","-102.07375634","2010-07"
